Time [d]	Q_out [m3/s]
0	2
-1	-1.00	0.00
1	-0.05787037	-0.05787037
2	-0.05787037	-0.05787037
3	-0.05787037	-0.05787037
4	-0.05787037	-0.05787037
5	-0.05787037	-0.05787037
6	-0.05787037	-0.05787037
7	-0.05787037	-0.05787037
8	-0.05787037	-0.05787037
9	-0.05787037	-0.05787037
10	-0.05787037	-0.05787037
11	-0.05787037	-0.05787037
12	-0.05787037	-0.05787037
13	-0.05787037	-0.05787037
14	-0.05787037	-0.05787037
15	-0.05787037	-0.05787037
16	-0.05787037	-0.05787037
17	-0.05787037	-0.05787037
18	-0.05787037	-0.05787037
19	-0.05787037	-0.05787037
20	-0.05787037	-0.05787037
21	-0.05787037	-0.05787037
22	-0.05787037	-0.05787037
23	-0.05787037	-0.05787037
24	-0.05787037	-0.05787037
25	-0.05787037	-0.05787037
26	-0.05787037	-0.05787037
27	-0.05787037	-0.05787037
28	-0.05787037	-0.05787037
29	-0.05787037	-0.05787037
30	-0.05787037	-0.05787037
31	-0.05787037	-0.05787037
32	-0.05787037	-0.05787037
33	-0.05787037	-0.05787037
34	-0.05787037	-0.05787037
35	-0.05787037	-0.05787037
36	-0.05787037	-0.05787037
37	-0.05787037	-0.05787037
38	-0.05787037	-0.05787037
39	-0.05787037	-0.05787037
40	-0.05787037	-0.05787037
41	-0.05787037	-0.05787037
42	-0.05787037	-0.05787037
43	-0.05787037	-0.05787037
44	-0.05787037	-0.05787037
45	-0.05787037	-0.05787037
46	-0.05787037	-0.05787037
47	-0.05787037	-0.05787037
48	-0.05787037	-0.05787037
49	-0.05787037	-0.05787037
50	-0.05787037	-0.05787037
51	-0.05787037	-0.05787037
52	-0.05787037	-0.05787037
53	-0.05787037	-0.05787037
54	-0.05787037	-0.05787037
55	-0.05787037	-0.05787037
56	-0.05787037	-0.05787037
57	-0.05787037	-0.05787037
58	-0.05787037	-0.05787037
59	-0.05787037	-0.05787037
60	-0.05787037	-0.05787037
61	-0.05787037	-0.05787037
62	-0.05787037	-0.05787037
63	-0.05787037	-0.05787037
64	-0.05787037	-0.05787037
65	-0.05787037	-0.05787037
66	-0.05787037	-0.05787037
67	-0.05787037	-0.05787037
68	-0.05787037	-0.05787037
69	-0.05787037	-0.05787037
70	-0.05787037	-0.05787037
71	-0.05787037	-0.05787037
72	-0.05787037	-0.05787037
73	-0.05787037	-0.05787037
74	-0.05787037	-0.05787037
75	-0.05787037	-0.05787037
76	-0.05787037	-0.05787037
77	-0.05787037	-0.05787037
78	-0.05787037	-0.05787037
79	-0.05787037	-0.05787037
80	-0.05787037	-0.05787037
81	-0.05787037	-0.05787037
82	-0.05787037	-0.05787037
83	-0.05787037	-0.05787037
84	-0.05787037	-0.05787037
85	-0.05787037	-0.05787037
86	-0.05787037	-0.05787037
87	-0.05787037	-0.05787037
88	-0.05787037	-0.05787037
89	-0.05787037	-0.05787037
90	-0.05787037	-0.05787037
91	-0.05787037	-0.05787037
92	-0.05787037	-0.05787037
93	-0.05787037	-0.05787037
94	-0.05787037	-0.05787037
95	-0.05787037	-0.05787037
96	-0.05787037	-0.05787037
97	-0.05787037	-0.05787037
98	-0.05787037	-0.05787037
99	-0.05787037	-0.05787037
100	-0.05787037	-0.05787037
101	-0.05787037	-0.05787037
102	-0.05787037	-0.05787037
103	-0.05787037	-0.05787037
104	-0.05787037	-0.05787037
105	-0.05787037	-0.05787037
106	-0.05787037	-0.05787037
107	-0.05787037	-0.05787037
108	-0.05787037	-0.05787037
109	-0.05787037	-0.05787037
110	-0.05787037	-0.05787037
111	-0.05787037	-0.05787037
112	-0.061342592	-0.061342592
113	-1.7361111	-1.7361111
114	-3.0578709	-3.0578709
115	-3.210648	-3.210648
116	-3.3206019	-3.3206019
117	-3.3148144	-3.3148144
118	-3.465278	-3.465278
119	-3.3321757	-3.3321757
120	-2.980324	-2.980324
121	-3.8032408	-3.8032408
122	-4.4722223	-4.4722223
123	-5.4039352	-5.4039352
124	-6.260417	-6.260417
125	-5.851852	-5.851852
126	-6.0543986	-6.0543986
127	-7.0474541	-7.0474541
128	-7.5891206	-7.5891206
129	-6.4629627	-6.4629627
130	-5.8969905	-5.8969905
131	-6.1111108	-6.1111108
132	-6.6469905	-6.6469905
133	-5.8321757	-5.8321757
134	-6.390046	-6.390046
135	-4.8611112	-4.8611112
136	-4.2129632	-4.2129632
137	-4.0775463	-4.0775463
138	-5.7071763	-5.7071763
139	-5.4907406	-5.4907406
140	-6.1666668	-6.1666668
141	-7.508103	-7.508103
142	-7.4780098	-7.4780098
143	-5.7951381	-5.7951381
144	-4.5104169	-4.5104169
145	-3.690972	-3.690972
146	-4.3518519	-4.3518519
147	-4.7604164	-4.7604164
148	-4.7488422	-4.7488422
149	-7.1099529	-7.1099529
150	-6.8796304	-6.8796304
151	-8.3981478	-8.3981478
152	-10.254628	-10.254628
153	-11.385417	-11.385417
154	-12.96412	-12.96412
155	-13.64352	-13.64352
156	-13.982641	-13.982641
157	-12.17824	-12.17824
158	-13.767362	-13.767362
159	-15.138888	-15.138888
160	-15.365741	-15.365741
161	-16.938657	-16.938657
162	-19.751157	-19.751157
163	-19.615742	-19.615742
164	-20.53125	-20.53125
165	-19.010417	-19.010417
166	-19.171297	-19.171297
167	-19.378473	-19.378473
168	-19.010416	-19.010416
169	-20.74074	-20.74074
170	-19.839121	-19.839121
171	-18.766203	-18.766203
172	-19.351853	-19.351853
173	-19.184027	-19.184027
174	-20.04977	-20.04977
175	-16.678242	-16.678242
176	-16.994213	-16.994213
177	-18.814815	-18.814815
178	-19.123842	-19.123842
179	-21.229167	-21.229167
180	-17.997686	-17.997686
181	-20.425927	-20.425927
182	-24.857639	-24.857639
183	-25.606481	-25.606481
184	-26.518518	-26.518518
185	-24.785879	-24.785879
186	-25.762732	-25.762732
187	-24.460648	-24.460648
188	-23.945602	-23.945602
189	-24.233796	-24.233796
190	-21.868057	-21.868057
191	-22.826389	-22.826389
192	-25.850694	-25.850694
193	-23.398147	-23.398147
194	-24.776622	-24.776622
195	-25.844906	-25.844906
196	-25.611111	-25.611111
197	-24.769676	-24.769676
198	-26.039352	-26.039352
199	-24.717593	-24.717593
200	-24.596064	-24.596064
201	-24.793981	-24.793981
202	-26.431713	-26.431713
203	-21.030092	-21.030092
204	-23.833333	-23.833333
205	-23.585648	-23.585648
206	-25.269675	-25.269675
207	-26.618057	-26.618057
208	-26.71412	-26.71412
209	-25.292824	-25.292824
210	-24.505788	-24.505788
211	-24.535881	-24.535881
212	-24.872685	-24.872685
213	-25.591436	-25.591436
214	-24.376158	-24.376158
215	-26.829861	-26.829861
216	-26.185186	-26.185186
217	-26.609953	-26.609953
218	-25.543982	-25.543982
219	-25.442129	-25.442129
220	-23.872685	-23.872685
221	-24.869212	-24.869212
222	-25.018519	-25.018519
223	-26.402777	-26.402777
224	-26.039351	-26.039351
225	-25.836805	-25.836805
226	-24.840276	-24.840276
227	-26.604165	-26.604165
228	-18.793983	-18.793983
229	-19.663194	-19.663194
230	-24.318286	-24.318286
231	-24.660879	-24.660879
232	-24.77662	-24.77662
233	-25.332177	-25.332177
234	-22.871528	-22.871528
235	-20.344907	-20.344907
236	-20.239584	-20.239584
237	-21.648148	-21.648148
238	-22.674769	-22.674769
239	-20.033565	-20.033565
240	-20.979167	-20.979167
241	-17.373842	-17.373842
242	-14.704861	-14.704861
243	-13.699074	-13.699074
244	-15.733797	-15.733797
245	-14.6875	-14.6875
246	-17.399305	-17.399305
247	-19.365741	-19.365741
248	-20.172454	-20.172454
249	-20.439814	-20.439814
250	-19.012731	-19.012731
251	-12.986111	-12.986111
252	-10.937501	-10.937501
253	-11.231482	-11.231482
254	-11.584491	-11.584491
255	-11.947916	-11.947916
256	-11.677083	-11.677083
257	-9.5601849	-9.5601849
258	-7.8124994	-7.8124994
259	-8.800926	-8.800926
260	-7.6550928	-7.6550928
261	-4.8599539	-4.8599539
262	-3.4756944	-3.4756944
263	-3.5717592	-3.5717592
264	-3.5474537	-3.5474537
265	-3.1365741	-3.1365741
266	-3.4039357	-3.4039357
267	-2.5497685	-2.5497685
268	-2.4953704	-2.4953704
269	-2.1527777	-2.1527777
270	-1.3807871	-1.3807871
271	-0.7337963	-0.7337963
272	-0.19444443	-0.19444443
273	-0.05787037	-0.05787037
274	-0.05787037	-0.05787037
275	-0.05787037	-0.05787037
276	-0.05787037	-0.05787037
277	-0.05787037	-0.05787037
278	-0.05787037	-0.05787037
279	-0.05787037	-0.05787037
280	-0.05787037	-0.05787037
281	-0.05787037	-0.05787037
282	-0.05787037	-0.05787037
283	-0.05787037	-0.05787037
284	-0.05787037	-0.05787037
285	-0.05787037	-0.05787037
286	-0.05787037	-0.05787037
287	-0.05787037	-0.05787037
288	-0.05787037	-0.05787037
289	-0.05787037	-0.05787037
290	-0.05787037	-0.05787037
291	-0.05787037	-0.05787037
292	-0.05787037	-0.05787037
293	-0.05787037	-0.05787037
294	-0.05787037	-0.05787037
295	-0.05787037	-0.05787037
296	-0.05787037	-0.05787037
297	-0.05787037	-0.05787037
298	-0.25347222	-0.25347222
299	-0.55439815	-0.55439815
300	-0.56944444	-0.56944444
301	-0.50925926	-0.50925926
302	-0.49074074	-0.49074074
303	-0.49537037	-0.49537037
304	-0.49768518	-0.49768518
305	-0.90740741	-0.90740741
306	-0.90856481	-0.90856481
307	-0.84606481	-0.84606481
308	-0.94791667	-0.94791667
309	-0.92939815	-0.92939815
310	-0.78935185	-0.78935185
311	-0.80787037	-0.80787037
312	-0.81944444	-0.81944444
313	-0.82175926	-0.82175926
314	-0.80208333	-0.80208333
315	-0.40509259	-0.40509259
316	-0.39467593	-0.39467593
317	-0.43171296	-0.43171296
318	-0.05787037	-0.05787037
319	-0.05787037	-0.05787037
320	-0.05787037	-0.05787037
321	-0.05787037	-0.05787037
322	-0.05787037	-0.05787037
323	-0.05787037	-0.05787037
324	-0.05787037	-0.05787037
325	-0.05787037	-0.05787037
326	-0.05787037	-0.05787037
327	-0.05787037	-0.05787037
328	-0.05787037	-0.05787037
329	-0.05787037	-0.05787037
330	-0.05787037	-0.05787037
331	-0.05787037	-0.05787037
332	-0.05787037	-0.05787037
333	-0.05787037	-0.05787037
334	-0.05787037	-0.05787037
335	-0.05787037	-0.05787037
336	-0.05787037	-0.05787037
337	-0.05787037	-0.05787037
338	-0.05787037	-0.05787037
339	-0.05787037	-0.05787037
340	-0.05787037	-0.05787037
341	-0.05787037	-0.05787037
342	-0.05787037	-0.05787037
343	-0.05787037	-0.05787037
344	-0.05787037	-0.05787037
345	-0.05787037	-0.05787037
346	-0.05787037	-0.05787037
347	-0.05787037	-0.05787037
348	-0.05787037	-0.05787037
349	-0.05787037	-0.05787037
350	-0.05787037	-0.05787037
351	-0.05787037	-0.05787037
352	-0.05787037	-0.05787037
353	-0.05787037	-0.05787037
354	-0.05787037	-0.05787037
355	-0.05787037	-0.05787037
356	-0.05787037	-0.05787037
357	-0.05787037	-0.05787037
358	-0.05787037	-0.05787037
359	-0.05787037	-0.05787037
360	-0.05787037	-0.05787037
361	-0.05787037	-0.05787037
362	-0.05787037	-0.05787037
363	-0.05787037	-0.05787037
364	-0.05787037	-0.05787037
365	-0.05787037	-0.05787037
366	-0.05787037	-0.05787037
367	-0.05787037	-0.05787037
368	-0.05787037	-0.05787037
369	-0.05787037	-0.05787037
370	-0.05787037	-0.05787037
371	-0.05787037	-0.05787037
372	-0.05787037	-0.05787037
373	-0.05787037	-0.05787037
374	-0.05787037	-0.05787037
375	-0.05787037	-0.05787037
376	-0.05787037	-0.05787037
377	-0.05787037	-0.05787037
378	-0.05787037	-0.05787037
379	-0.05787037	-0.05787037
380	-0.05787037	-0.05787037
381	-0.05787037	-0.05787037
382	-0.05787037	-0.05787037
383	-0.05787037	-0.05787037
384	-0.05787037	-0.05787037
385	-0.05787037	-0.05787037
386	-0.05787037	-0.05787037
387	-0.05787037	-0.05787037
388	-0.05787037	-0.05787037
389	-0.05787037	-0.05787037
390	-0.05787037	-0.05787037
391	-0.05787037	-0.05787037
392	-0.05787037	-0.05787037
393	-0.05787037	-0.05787037
394	-0.05787037	-0.05787037
395	-0.05787037	-0.05787037
396	-0.05787037	-0.05787037
397	-0.05787037	-0.05787037
398	-0.05787037	-0.05787037
399	-0.05787037	-0.05787037
400	-0.05787037	-0.05787037
401	-0.05787037	-0.05787037
402	-0.05787037	-0.05787037
403	-0.05787037	-0.05787037
404	-0.05787037	-0.05787037
405	-0.05787037	-0.05787037
406	-0.05787037	-0.05787037
407	-0.05787037	-0.05787037
408	-0.05787037	-0.05787037
409	-0.05787037	-0.05787037
410	-0.05787037	-0.05787037
411	-0.05787037	-0.05787037
412	-0.05787037	-0.05787037
413	-0.05787037	-0.05787037
414	-0.05787037	-0.05787037
415	-0.05787037	-0.05787037
416	-0.05787037	-0.05787037
417	-0.05787037	-0.05787037
418	-0.05787037	-0.05787037
419	-0.05787037	-0.05787037
420	-0.05787037	-0.05787037
421	-0.05787037	-0.05787037
422	-0.05787037	-0.05787037
423	-0.05787037	-0.05787037
424	-0.05787037	-0.05787037
425	-0.05787037	-0.05787037
426	-0.05787037	-0.05787037
427	-0.05787037	-0.05787037
428	-0.05787037	-0.05787037
429	-0.05787037	-0.05787037
430	-0.05787037	-0.05787037
431	-0.05787037	-0.05787037
432	-0.05787037	-0.05787037
433	-0.05787037	-0.05787037
434	-0.05787037	-0.05787037
435	-0.05787037	-0.05787037
436	-0.05787037	-0.05787037
437	-0.05787037	-0.05787037
438	-0.05787037	-0.05787037
439	-0.05787037	-0.05787037
440	-0.05787037	-0.05787037
441	-0.05787037	-0.05787037
442	-0.05787037	-0.05787037
443	-0.05787037	-0.05787037
444	-0.05787037	-0.05787037
445	-0.05787037	-0.05787037
446	-0.05787037	-0.05787037
447	-0.05787037	-0.05787037
448	-0.05787037	-0.05787037
449	-0.05787037	-0.05787037
450	-0.05787037	-0.05787037
451	-0.05787037	-0.05787037
452	-0.05787037	-0.05787037
453	-0.05787037	-0.05787037
454	-0.05787037	-0.05787037
455	-0.05787037	-0.05787037
456	-0.05787037	-0.05787037
457	-0.05787037	-0.05787037
458	-0.05787037	-0.05787037
459	-0.05787037	-0.05787037
460	-0.05787037	-0.05787037
461	-0.05787037	-0.05787037
462	-0.05787037	-0.05787037
463	-0.05787037	-0.05787037
464	-0.05787037	-0.05787037
465	-0.05787037	-0.05787037
466	-0.05787037	-0.05787037
467	-0.05787037	-0.05787037
468	-0.05787037	-0.05787037
469	-0.05787037	-0.05787037
470	-0.05787037	-0.05787037
471	-0.05787037	-0.05787037
472	-0.05787037	-0.05787037
473	-0.05787037	-0.05787037
474	-0.05787037	-0.05787037
475	-0.05787037	-0.05787037
476	-0.05787037	-0.05787037
477	-0.061342592	-0.061342592
478	-1.7361111	-1.7361111
479	-3.0578709	-3.0578709
480	-3.210648	-3.210648
481	-3.3206019	-3.3206019
482	-3.3148144	-3.3148144
483	-3.465278	-3.465278
484	-3.3321757	-3.3321757
485	-2.980324	-2.980324
486	-3.8032408	-3.8032408
487	-4.4722223	-4.4722223
488	-5.4039352	-5.4039352
489	-6.260417	-6.260417
490	-5.851852	-5.851852
491	-6.0543986	-6.0543986
492	-7.0474541	-7.0474541
493	-7.5891206	-7.5891206
494	-6.4629627	-6.4629627
495	-5.8969905	-5.8969905
496	-6.1111108	-6.1111108
497	-6.6469905	-6.6469905
498	-5.8321757	-5.8321757
499	-6.390046	-6.390046
500	-4.8611112	-4.8611112
501	-4.2129632	-4.2129632
502	-4.0775463	-4.0775463
