par_id,rmse,nse,r,bias,mae,nmae
p04100,5.03658934978257,-0.136200278814887,0.746582082444349,3.72722524822695,3.87953333333333,0.673153203180764
p04101,2.33044822161314,0.756745590130322,0.913767583219296,1.17251730496454,1.8862704964539,0.291910124689994
p04102,2.41554540982756,0.738656189913407,0.926713086193117,1.61593758865248,1.89585106382979,0.317997607053398
p04103,2.2224382285663,0.778771434339602,0.914646488079892,0.814073617021276,1.71317120567376,0.239447031435171
p04104,3.98033457544991,0.290387978547377,0.843978473754537,3.01816992907801,3.09873276595745,0.549097677548864
p04105,2.20135420659696,0.78294906467065,0.923020784877858,1.09559163120567,1.73510964539007,0.260837613375493
p04106,3.13009380603525,0.561169795527161,0.859172907800252,-0.684583858156028,2.18482215602837,0.264362491509808
p04107,2.60611803298446,0.695792463894624,0.926486066947965,1.88390595744681,2.08067475177305,0.355266903237536
p04108,3.4146479842177,0.47775572982128,0.884570767982116,2.5857065248227,2.70310170212766,0.473794292609051
p04109,4.37752273357387,0.141700961049263,0.811408801750263,3.29560255319149,3.39798496453901,0.59214256765456
p04110,3.33419761612789,0.502074372631642,0.900643636334613,2.61329503546099,2.74318184397163,0.478539973309581
p04111,2.29461267172968,0.7641691691188,0.916507098609928,1.10199985815603,1.81560553191489,0.272553284124769
p04112,2.24319893107971,0.774618956874327,0.926904873779742,1.29362836879433,1.79265787234043,0.283574994895325
p04113,2.45293377274313,0.730503300100781,0.925663192029877,1.63381787234043,1.99782382978723,0.33727989427274
p04114,3.90915851790627,0.315539533219573,0.857890227716364,3.02612581560284,3.1176704964539,0.551465394010254
p04115,2.33428945452373,0.755943026133984,0.920047257620565,1.29321319148936,1.87858113475177,0.291058536808138
p04116,4.15978386466522,0.224961390552223,0.832123533599252,3.15494510638298,3.23468808510638,0.564313970629103
p04117,2.91768971182717,0.61870596259136,0.91885195446699,2.23429645390071,2.41216028368794,0.426762268045284
p04118,4.69986993523097,0.0106419662039455,0.778996241594056,3.49514907801418,3.61744439716312,0.629918902104735
p04119,2.32914797503415,0.757016956364471,0.904855948663165,0.427744680851064,1.63334666666667,0.199192244874958
p04120,2.2164134336432,0.77996926301742,0.923024699120989,1.09579063829787,1.76712964539007,0.263531451057359
p04121,3.543162788945,0.437705263236235,0.868805517198082,2.62503319148936,2.78473106382979,0.484997960042629
p04122,3.11883371243821,0.564321382478806,0.904480852359991,2.37344780141844,2.51864241134752,0.448497557132915
p04123,3.52797474817357,0.442515570793372,0.877514707831253,2.67638014184397,2.78225333333333,0.485491517596277
p04124,3.26634061081234,0.522135523585151,0.84754995926681,-0.669518567375887,2.30090296453901,0.274993422632394
p04125,2.8722523898356,0.630489311937354,0.873622014166727,-0.205820141843972,1.93318496453901,0.213902290867184
p04126,2.16257434808118,0.79052900275164,0.92765934812739,1.15516964539007,1.68343971631206,0.258550144903419
p04127,3.82982757336624,0.343038001106444,0.852512225842206,2.88111645390071,3.01708780141844,0.527807922944173
p04128,2.82479351932036,0.642599445227785,0.923693909946925,2.16100780141844,2.32409290780142,0.405849984402507
