datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
70	1.4605347	0	-2.6682268	190.59821	4.3591601	246.60403	0.00017361767
71	-0.61899727	0	-5.522153	181.66144	3.389795	237.34966	0.00016024202
72	-0.25261682	0	-7.2093915	183.54343	2.9546293	237.7956	7.7727767e-05
73	-0.32514222	0	-6.8599731	180.16575	2.948176	211.80664	0.00013923761
74	-0.64322315	0	-10.429537	200.29588	2.2324946	179.64283	0
75	0.019674598	0	-10.151912	202.39744	2.3816037	186.95979	0
76	0.51427581	0	-7.5188909	202.64622	2.975653	204.08222	0
77	0.98090919	0	-8.1046547	209.98687	2.6043703	192.16092	0
78	2.0519068	0	-4.6101057	190.08307	3.5918613	219.87845	0
79	2.1594499	0	-2.7100831	205.46717	4.0439922	201.09505	0
80	2.3024187	0	-1.4875322	211.54229	4.3237777	209.23928	0
81	2.0346077	0	-1.0128072	191.77543	4.6745298	236.08196	0.00015026348
82	2.1751635	0	-3.4901418	204.40617	3.9434485	243.9797	0.00012883823
83	2.8025503	0	2.7566464	186.2482	6.5156808	264.94483	0
84	2.4431826	0	4.3119241	197.31912	6.4174947	276.32371	0
85	0.91492271	0	5.3689798	219.33225	6.5074715	250.59674	0
86	0.23568389	0	4.2714325	147.62273	7.1380359	282.58943	5.6590178e-05
87	0.75432711	0	1.7626895	214.57288	5.8416509	221.83787	0
88	0.0064470616	0	2.3824005	217.6306	5.5086924	231.20144	0
89	0.60801583	0	3.4393338	177.69282	6.2180613	257.38593	0.00012981218
90	0.8406842	0	-1.3404623	220.18918	4.0005936	201.95661	0
91	-0.93062223	0	0.094708842	223.33909	4.507651	218.6349	0
92	-1.0740664	0	4.4530756	203.85365	7.3820463	274.31619	8.0714495e-05
93	-0.72894194	0	4.3370122	187.77107	7.3551429	273.78085	4.1426404e-05
94	1.6352039	0	4.3278643	222.97836	6.3813614	218.17601	0
95	1.4020544	0	1.4052265	222.49444	5.174744	216.95681	0
96	-0.26381815	0	0.52656828	220.74326	4.8893529	219.19851	0
97	0.18631422	0	1.3151424	166.75417	4.9107964	241.26152	0
98	2.1789571	0	2.0133446	225.06243	5.0427373	237.79133	7.2444961e-05
99	2.0892163	0	0.59350056	78.876299	4.9570011	268.98736	0
100	1.288422	0	-0.017546061	215.6337	4.5676738	215.98032	0
101	0.86469781	0	1.4002629	196.73561	5.3039809	251.51031	0
102	-0.21795751	0	1.9750642	136.72738	5.47713	281.11709	6.6683124e-05
103	-0.14571333	0	2.1245942	157.15175	6.0432393	295.69011	0.00042078707
104	-1.2007156	0	1.1871966	185.51845	5.9039646	280.16985	0.00061286114
105	-1.7337498	0	0.82266687	77.373327	5.7441403	293.53657	0.00038918998
106	-1.5684779	0	-0.77514895	229.12426	4.5819298	228.97371	0
107	-1.3706873	0	1.312669	216.98856	5.1045102	251.48023	0
108	-1.3555547	0	3.248222	195.68517	6.8109703	301.87624	0.00036198167
109	-1.9726231	0	6.1229013	174.46152	8.4167524	335.14875	0.00015733828
110	-0.92773076	0	4.807414	223.35843	7.6067965	249.20052	0
111	-1.1490572	0	5.0227305	225.99416	7.3586819	259.155	6.9020408e-05
112	-1.7625507	0	4.597509	147.3618	7.9610187	336.48497	0.00060795935
113	-1.359425	0	4.6054213	60.986094	8.1508885	348.73604	0.00069672162
114	-1.6385886	0	5.0882451	118.72851	8.0481207	330.21051	0.00047513764
115	-1.2247867	0	5.2622227	129.35869	7.8654272	303.83141	0.00022792821
116	-1.6201344	0	5.1873318	51.295749	8.4002877	332.3814	0.00051661437
117	1.4681518	0	5.1676621	214.72035	7.7142309	271.63514	8.2516945e-05
118	-0.022447116	0	4.0385149	214.87847	7.2514351	275.93618	9.0243988e-05
119	-0.41238399	0	4.4968359	123.92984	7.6770716	327.98755	0.00026454913
120	1.0818286	0	5.610589	142.57148	7.929316	311.013	0.00019271482
121	0.56091411	0	4.9260047	145.70301	7.9523428	307.95687	0.00022267012
122	-1.7792496	0	6.9449174	114.82023	9.2020016	324.73784	0.00036219621
123	-1.5980528	0	6.468872	66.120732	9.1594342	322.18038	0.00058499641
124	1.5527017	0	5.4665953	100.18457	8.2752399	317.92787	0.00034212046
125	1.8599244	0	8.0532521	247.84793	8.6331165	268.78859	0
126	1.1343524	0	8.1048217	134.97013	9.8496621	296.58514	0.00028218112
127	0.8213701	0	7.8669582	199.8592	8.5637969	254.97688	0
128	-0.31659256	0	7.2919662	250.81374	8.3262803	248.62226	0
129	-1.3094511	0	8.591593	199.44717	9.6623516	289.02813	0.00035346141
130	-1.3210544	0	9.8520249	248.98624	9.7735775	263.37927	0
131	-1.2190705	0	10.729858	236.25238	9.971177	286.79306	0
132	1.1987713	0	9.6346831	254.47208	8.7293342	252.98713	0
133	0.61544906	0	6.324576	253.0665	7.2419477	238.94268	0
134	-1.0537224	0	9.846301	255.92322	8.0337704	260.94622	0
135	-1.1905024	0	11.995662	257.71284	9.7162408	263.19561	0
136	-1.142273	0	13.524608	266.37085	11.54031	305.55546	6.4592838e-05
137	-0.22652444	0	10.033626	122.51037	11.41065	353.53951	0.0012396757
138	-0.81043151	0	8.2121094	165.70064	9.3700677	323.08431	0.00021135759
139	-1.3777767	0	8.6428658	140.51817	10.329454	345.58429	0.00041068032
140	-1.1519924	0	9.1794861	80.140738	11.257347	360.687	0.0014194762
141	-0.24516095	0	7.2692425	88.426387	9.7006893	333.32491	0.00036278066
142	0.11202347	0	5.8281447	125.22781	8.5553375	320.78517	0.00054401321
143	1.5044856	0	5.5145387	120.8659	8.0577749	304.2014	0.0003210841
144	2.043054	0	6.7432774	189.83589	8.7616068	311.27395	0.00053952947
145	-1.0379002	0	7.101913	115.35182	9.5185326	335.86778	0.00050683176
146	-0.81385611	0	7.6624616	167.44868	9.6272335	316.36805	0.00010929577
147	-0.53704275	0	7.3815435	69.224709	9.8135487	352.03429	0.00077097208
148	-0.7455806	0	8.7232474	174.90304	10.520237	338.51421	0.00062050835
149	-1.2608545	0	9.5278963	222.49355	10.197487	330.35306	0.00015417971
150	-0.90893003	0	8.9430418	149.00995	10.643214	340.60073	0.00025489345
151	-0.080181714	0	9.3528286	123.15464	10.943597	332.68495	0.00022773092
152	-0.16139331	0	10.016907	250.15944	10.101306	265.91721	0
153	0.31182886	0	11.163212	220.39259	10.354227	295.41664	8.1085545e-05
154	1.1949471	0	13.358228	215.43116	11.297055	299.31638	6.8974609e-05
155	1.206526	0	12.210024	228.55208	10.514129	281.06663	0
156	-0.38866064	0	11.146962	212.91694	10.394044	312.31049	0
157	-0.36848883	0	12.078361	170.65534	11.992288	331.71424	0.00017024855
158	-0.84938827	0	9.4838463	161.05476	11.095123	313.51568	0.00015152068
159	-1.1248674	0	8.6814846	74.329795	10.831002	321.69166	0.00034323452
160	-1.2453099	0	11.594137	270.742	11.368888	272.4867	0
161	-1.3449216	0	13.413929	222.19177	13.633636	314.94194	0.00011469804
162	-1.0494182	0	12.947495	66.501235	14.126803	359.0321	0.00041616024
163	0.64273441	0	12.270365	138.16698	13.053097	349.09355	0.00025976792
164	-0.044938972	0	10.433696	229.55734	10.334231	293.66345	0.00010931938
165	-0.4852744	0	9.6819494	270.44187	8.9170986	252.03999	0
166	-0.94823381	0	10.803662	278.57154	9.7881503	269.15068	0
167	-0.64769077	0	11.97631	235.44831	11.429234	291.93707	8.1235847e-05
168	-0.14897707	0	12.51445	170.21465	12.421861	324.65335	9.3335316e-05
169	-0.81393579	0	12.548506	235.74474	12.408824	301.17773	4.5812746e-05
170	-1.4607631	0	13.352404	197.86284	13.449668	304.32694	0.00011008876
171	-1.8185169	0	14.256131	198.92212	14.413164	336.31477	0.00020564481
172	-1.7920684	0	13.682667	51.215201	14.500522	358.18593	0.00047553708
173	-1.2858176	0	13.698654	167.06119	12.933002	317.75497	0.00013277066
174	-0.76035242	0	14.435706	169.63956	14.20732	345.94242	0.0005275841
175	1.8161269	0	13.271036	178.85731	12.177165	300.29665	0.00012256518
176	0.6143126	0	12.432445	187.43653	12.24788	334.99045	0.00054425602
177	-1.3443826	0	11.401374	43.02462	12.643897	345.44403	0.00037473136
178	-1.6637357	0	11.721131	134.26632	12.166751	312.61594	0.00022215446
179	-1.9209333	0	12.107803	143.30767	12.738161	347.3757	0.00070435583
180	-1.7113013	0	12.072645	84.022817	12.178944	346.45183	0.00024695119
181	-1.376492	0	14.068435	247.01738	12.355626	323.7779	0.00024760642
182	-1.3466077	0	13.930398	180.44514	12.63695	338.26748	0.00016231816
183	-1.2427794	0	13.598411	120.48648	12.795558	344.17479	0.00026120133
184	-1.1703317	0	12.584406	33.672298	13.049725	363.1413	0.00063952611
185	-0.5998352	0	12.440093	87.695559	12.808952	355.25385	0.00044373746
186	0.13164059	0	13.612836	130.51512	13.772367	352.13655	0.00021430985
187	0.64434483	0	13.839654	137.53703	13.250046	329.23325	0.00014909972
188	1.3867976	0	15.4159	266.38238	12.257322	297.7557	0
189	0.013482692	0	16.093453	169.78819	15.404859	351.50539	0.00026858413
190	-0.8895857	0	14.973544	81.06542	15.760615	352.26917	0.00050682814
191	-1.2452756	0	13.695533	93.177033	14.57678	346.31626	0.00035597646
192	-1.3666491	0	14.503417	114.19039	14.830051	352.67179	0.00025626111
193	-0.57171376	0	15.425636	166.71791	15.59624	336.10876	0.00052745983
194	0.054465543	0	15.301452	228.15691	13.97758	300.92604	4.1786035e-05
195	-0.87101096	0	13.1992	162.2593	14.010202	331.5996	0.00027731124
196	-1.2683371	0	13.973122	160.68325	14.744135	334.79458	0.00049639652
197	-1.4170467	0	13.817197	77.985905	14.430998	340.22311	0.00026083243
198	-1.4955201	0	14.362764	101.09191	14.209964	343.94787	0.00021923299
199	-1.5351084	0	15.422631	146.31397	14.377612	340.24434	0.0002452204
200	-1.0282248	0	15.301337	185.81288	15.05207	323.84407	0.00036000894
201	-0.71913896	0	13.716217	117.04065	14.232542	332.46228	0.00031302605
202	-1.3932115	0	13.493989	147.58572	13.919124	330.98097	0.00018321299
203	-1.4904669	0	14.099005	141.24014	13.900781	338.97651	0.00015508989
204	-1.1665671	0	12.864303	48.794262	13.484972	350.72707	0.00044759176
205	-0.98407162	0	14.022918	116.33796	14.08679	338.65917	0.00013984975
206	1.0537953	0	14.792728	176.85996	13.599216	324.31447	0.00014762233
207	0.98262146	0	14.483172	218.83219	13.633699	313.316	0.00014708744
208	-0.91630088	0	12.585439	122.76474	13.137169	318.9335	0.00016557149
209	-1.2709298	0	11.943248	175.53178	12.478911	316.24709	0.000231658
210	-1.370508	0	11.980366	223.49666	11.682174	292.18638	5.7535771e-05
211	-1.3825655	0	12.37567	248.99821	11.339073	272.75924	0
212	-1.094709	0	13.210851	225.68568	12.101798	301.07991	6.516617e-05
213	-0.82036565	0	15.301525	198.04875	13.507614	324.7265	6.9073957e-05
214	-0.42989896	0	15.890801	139.93662	14.820548	372.16762	0.00021295621
215	1.2546264	0	14.896217	79.903476	15.479155	360.98554	0.0004457386
216	1.2432111	0	15.128069	150.58762	14.506788	350.79911	0.00020138581
217	0.85906668	0	14.018827	108.8797	14.62102	353.54037	0.00040844961
218	-0.98126575	0	13.089343	145.13756	13.601122	339.30593	0.00023130435
219	-1.535179	0	12.327938	137.19904	12.853731	332.32316	0.0003740399
220	-1.4613862	0	12.886621	217.0051	11.807248	298.38577	0
221	-1.13814	0	13.062138	178.09663	12.539791	311.75151	4.214686e-05
222	-1.0204995	0	14.038268	183.2006	14.154547	330.73714	0.00036108571
223	-1.2416488	0	14.776484	206.61396	14.487371	337.54035	0.00047222991
224	-1.7454788	0	15.803354	194.57828	13.621424	347.38749	0.00011602776
225	-1.9481255	0	15.847954	173.12684	11.626404	353.56037	0
226	-1.8582905	0	15.596621	186.8481	11.404972	332.38182	0
227	-1.6631931	0	15.487638	141.49707	13.527593	345.28171	0.00017201188
228	-1.6094838	0	15.47924	168.38475	15.923832	356.84635	0.0010130419
229	-1.9871383	0	14.931074	130.74084	15.26457	361.70182	0.00082415512
230	-1.6642832	0	15.325349	189.07997	13.650173	345.3418	0.00032959261
231	-0.8877294	0	15.626564	155.64175	15.053955	363.16439	0.00019180936
232	-1.1745545	0	15.199177	90.965938	15.103812	364.67937	0.00034445322
233	-1.3737452	0	15.001068	98.29618	15.229606	366.45252	0.00058544885
234	-1.145938	0	14.924627	78.916323	15.329038	364.07033	0.00047901915
235	-1.3378925	0	14.393955	60.373135	14.687674	357.884	0.00047787472
236	-1.4140739	0	15.319379	147.01797	13.282971	355.5476	0.00013302647
237	-0.34815625	0	13.700781	56.754633	14.290142	352.87292	0.00037450565
238	0.81398635	0	14.329686	219.40655	13.862362	306.59377	0
239	-0.42815929	0	12.328592	140.05292	13.261791	324.02719	0.00024932457
240	-0.90566491	0	11.778646	163.22479	12.654979	300.40609	0.00016584744
241	-0.77407568	0	12.364128	225.86585	12.249491	287.28524	9.7342444e-05
242	-1.0314644	0	13.466154	219.88654	11.852263	300.92184	0
243	-1.3355231	0	13.136163	171.05486	12.61187	313.45785	0.0001470721
244	-1.392295	0	13.648511	204.97452	13.218878	304.01579	4.1813517e-05
245	-1.3511055	0	14.906845	180.50147	14.191335	334.34178	0.00034028421
246	-0.89604708	0	14.074852	107.94981	14.271056	326.73615	0.00032561829
247	-0.64045961	0	11.943577	127.87154	12.832123	317.46468	0.00025627038
