date,period,variable,model,mean,median,sd,q25,q75,q05,q95
1970,historical,MaxStratDur,Ensemble_Mean,-10.1220538720539,-7.88888888888889,7.28013618552038,-13.6111111111111,-4.63888888888889,-22.5444444444444,-0.700000000000006
1970,historical,MaxStratDur,FLake,-11.8173400673401,-13,8.0170416431678,-16.6944444444445,-6.08333333333334,-24.3444444444444,0.538888888888885
1970,historical,MaxStratDur,GLM,-5.62962962962963,-5.22222222222223,7.72900028106159,-12.2222222222222,0.75,-18.1111111111111,4.44999999999999
1970,historical,MaxStratDur,GOTM,-8.79124579124579,-7.80555555555554,7.83541122340981,-14.3611111111111,-3.66666666666666,-21.2,0.844444444444447
1970,historical,MaxStratDur,MyLake,-10.3998316498316,-9.63888888888889,7.53929693238444,-14.7777777777778,-5.52777777777777,-22.1944444444444,1.91666666666666
1970,historical,MaxStratDur,Simstrat,-14.3754208754209,-15.8888888888889,10.3551170506436,-21.7777777777778,-9.08333333333334,-31.2,2.07777777777778
1970,historical,Schmidt_Stability,Ensemble_Mean,-178.235894033179,-166.906157355229,129.234198580599,-247.630561260944,-111.664525408116,-375.010715351923,18.8438306309326
1970,historical,Schmidt_Stability,FLake,-214.030739473543,-219.398552420206,136.641291982732,-282.283840475521,-126.893068940711,-422.489655551417,-8.78194777243877
1970,historical,Schmidt_Stability,GLM,-143.114514016557,-122.602519178151,126.470114675385,-229.831969481855,-62.2887017485705,-345.265532256677,24.4113185949511
1970,historical,Schmidt_Stability,GOTM,-147.051663501807,-116.750953706336,133.638420887468,-254.132955685078,-62.069448485883,-359.716009944137,43.1980805094552
1970,historical,Schmidt_Stability,MyLake,-163.160621843397,-157.526784758915,116.465201762271,-255.334835233801,-84.0264028163738,-342.338357922562,11.0503063317907
1970,historical,Schmidt_Stability,Simstrat,-232.060458372238,-231.868735790808,165.026288512899,-344.530110436832,-110.829789600075,-505.543441615167,20.9464948431333
1970,historical,StratEnd,Ensemble_Mean,-3.75420875420875,-3.25,4.10668117892886,-6.27777777777777,-1.16666666666669,-10.7722222222222,2.45000000000001
1970,historical,StratEnd,FLake,-3.63383838383838,-3.63888888888891,4.96271522134061,-6.91666666666669,-0.111111111111086,-11.3055555555556,2.86111111111111
1970,historical,StratEnd,GLM,-3.96548821548821,-4.44444444444446,3.36029339156901,-5.94444444444446,-2.55555555555554,-8.55555555555554,2.39444444444444
1970,historical,StratEnd,GOTM,-4.45622895622896,-5.02777777777777,3.2708040685102,-6.25,-2.08333333333331,-8.55555555555557,0.894444444444434
1970,historical,StratEnd,MyLake,-3.90740740740741,-3.91666666666669,3.91987079997254,-6.5,-1.05555555555554,-9.18333333333334,1.57222222222223
1970,historical,StratEnd,Simstrat,-3.61279461279461,-2.36111111111109,4.43984103716324,-4.72222222222223,-0.944444444444457,-12.6388888888889,2.39444444444444
1970,historical,StratStart,Ensemble_Mean,6.36784511784512,6.11111111111111,5.41068504439545,2.75,10.4722222222222,-1.13888888888889,14.6
1970,historical,StratStart,FLake,8.18350168350169,8.22222222222223,5.81544437651929,3.80555555555554,12.1111111111111,-1.95555555555557,16.5277777777778
1970,historical,StratStart,GLM,1.66414141414141,1.69444444444444,5.91350073273907,-3.36111111111111,6.80555555555554,-6.62222222222222,10.4055555555556
1970,historical,StratStart,GOTM,4.33501683501683,4.13888888888889,7.21763322220937,1.19444444444446,8.47222222222223,-5.97222222222223,15.0944444444444
1970,historical,StratStart,MyLake,6.49242424242424,5.86111111111111,6.65859346508113,1.94444444444446,10.5277777777778,-3.0388888888889,17.25
1970,historical,StratStart,Simstrat,10.7626262626263,11.8333333333333,9.4057394474795,5,17.3888888888889,-5.55000000000001,24.0944444444444
1971,historical,MaxStratDur,Ensemble_Mean,-7.21296296296296,-9.72222222222223,7.60415292574439,-11.8888888888889,-2.97222222222223,-17.9888888888889,6.86666666666666
1971,historical,MaxStratDur,FLake,-3.8476430976431,-5.44444444444446,8.91542566977425,-9.19444444444446,-0.25,-13.7,10.4722222222222
1971,historical,MaxStratDur,GLM,-7.14478114478115,-8.33333333333334,10.0596138736738,-14.2777777777778,-0.527777777777771,-20.3833333333333,9.04444444444444
1971,historical,MaxStratDur,GOTM,-6.27609427609428,-7.47222222222223,7.24609083158635,-11.4444444444445,-3.36111111111111,-13.8277777777778,8.95000000000001
1971,historical,MaxStratDur,MyLake,-4.67255892255892,-4.77777777777777,8.2024818092222,-10.4166666666667,0.305555555555543,-15.75,7.91111111111112
1971,historical,MaxStratDur,Simstrat,-10.0117845117845,-7.41666666666666,10.2169371110186,-17.7777777777778,-2.80555555555554,-27.7,3.33888888888889
1971,historical,Schmidt_Stability,Ensemble_Mean,-86.4899950636383,-47.931917329754,121.863911294356,-167.498700513796,-15.7006438756071,-303.017154743308,91.701103368094
1971,historical,Schmidt_Stability,FLake,-96.7198158347853,-55.9300755520451,149.744886974679,-202.464118934835,-8.29172734305689,-330.336639043182,123.959366094937
1971,historical,Schmidt_Stability,GLM,-61.8266750571499,-51.03656558687,100.884579426423,-107.380040073053,9.5854111216463,-229.864474019101,78.920693988525
1971,historical,Schmidt_Stability,GOTM,-62.6905299573542,-54.8677732868848,127.037792352642,-141.933219691346,20.999274522778,-263.217676987897,152.65813350748
1971,historical,Schmidt_Stability,MyLake,-95.44086633845,-72.489656480129,113.286649723952,-179.096556520598,-28.7737844091316,-270.893335758622,73.8463143004424
1971,historical,Schmidt_Stability,Simstrat,-115.645080788384,-80.3090349537072,170.816437893934,-227.089997247135,-6.72116835497832,-419.402836996482,102.715693019723
