par_id,rmse,nse,r,bias,mae,nmae
p0001,6.45535772678852,-0.840505948115549,0.774940996440358,5.67119148812983,5.72540547862015,1.00278427946025
p0002,6.01411075853434,-0.597494757132371,0.821920266734294,5.34929413283473,5.37392897962073,0.944537599806871
p0003,4.32452233970225,0.174013617621243,0.901142595579548,3.79227776641637,3.84598371255495,0.661533575727412
p0004,5.74281202113965,-0.456618424983325,0.810425630734951,4.99285128669858,5.05182105306628,0.878022627716447
p0005,5.01973129901519,-0.112903577248791,0.847553722173064,4.32233881539737,4.38351421034808,0.759499470430934
p0006,6.97536159928864,-1.14896850112312,0.745469718502926,6.16888429022177,6.21337067036234,1.099075331992
p0007,5.06039074349089,-0.131005463368994,0.847899308529155,4.3684340464805,4.42909798100694,0.768773872485926
p0008,6.57304673250227,-0.908227004457027,0.776066718226004,5.81979135162101,5.86266573214065,1.03691732988878
p0009,5.78326060726071,-0.477209607817165,0.796882090143036,4.98617569116433,5.04764460907984,0.884389264069539
p0010,5.87776600629979,-0.525882819534826,0.789436422124177,5.06494529339398,5.13565871169781,0.901150042334814
p0011,5.39173293185179,-0.283965462915051,0.809224020401797,4.58050336193243,4.66241147695626,0.813932337657577
p0012,6.16796716208199,-0.680276305824179,0.77834616147052,5.35931335307496,5.41394441227388,0.952307703529209
p0013,5.04966855186107,-0.126217686909989,0.839732143354924,4.31686601777895,4.38142581625224,0.760721585142053
p0014,5.70055763964926,-0.435262308848332,0.803286939731495,4.91032399338833,5.00240792381083,0.868884788246456
p0015,6.56923227744693,-0.906012891453251,0.754484009942323,5.73482617020435,5.7927191147005,1.02309101151585
p0016,5.485253007308,-0.328892731223041,0.83004176626946,4.78248322079159,4.8413619021044,0.843748056883783
p0017,5.4365604730989,-0.305404315167243,0.806227778310257,4.61157324722467,4.7094604428561,0.813232933173813
p0018,5.29186039740819,-0.236839523913201,0.821085946631077,4.51368961966531,4.59595258813909,0.798086387321087
p0019,4.94022369132691,-0.0779281797119107,0.84850935214845,4.22041054373428,4.29702736220234,0.739824767662199
p0020,6.57696099227942,-0.910500385585189,0.752134623128677,5.73096354651162,5.79218907576751,1.02076586451302
p0021,5.20803868445048,-0.197967401459226,0.821526712644139,4.40993074991416,4.53009835098097,0.776809469728234
p0022,5.40056653400484,-0.288176105910997,0.820240125685667,4.63745827942545,4.70654821095296,0.816557642117862
p0023,6.12381551041569,-0.656306836156169,0.811647339761054,5.4341898902412,5.45951312029851,0.95960362023163
p0024,5.13033732699515,-0.162487898490737,0.831253350322777,4.3702287989571,4.4617815962069,0.771288306606278
p0025,3.31671780019662,0.514137208986386,0.935947721379818,2.84710434176928,2.88806572952412,0.487844651770458
p0026,6.51974075446083,-0.877401894650053,0.753284200929746,5.67589593471771,5.73647784075716,1.01375056567492
p0027,6.67711117551308,-0.969127386288506,0.773617682251904,5.92766401662531,5.96439742563476,1.05094786667952
p0028,5.10443192200989,-0.150777678896072,0.836656269030816,4.35284965363488,4.42607970820545,0.758803784698607
p0029,6.52251766594512,-0.879001494796386,0.780714008948952,5.76733071767318,5.81368462083014,1.0164989874671
p0030,6.10292441601595,-0.645025294184147,0.780800413116064,5.28842973725322,5.36945641876924,0.93693082833659
p0031,5.72332800975608,-0.446751264007593,0.806753566403478,4.95552940716186,5.01812007237018,0.877867726875203
p0032,5.69806000096347,-0.434004894546187,0.810669502568204,4.94915806850976,5.00999129605054,0.878981812371231
p0033,5.53722671498867,-0.354195008199512,0.824130955223147,4.8156665610307,4.8606532930368,0.845337408580662
p0034,6.58087337756073,-0.912774030443264,0.770574239511751,5.80695395762713,5.84217623050161,1.03293721077842
p0035,5.83342267405591,-0.502946385348314,0.789740475033998,5.00911267741494,5.10220993798734,0.887399961991413
p0036,6.67544245596741,-0.968143274846225,0.759833215510367,5.8738282675813,5.9310972362777,1.04389449570565
p0037,5.96435610019264,-0.571171987591258,0.788375645725461,5.15519373529178,5.22852454121874,0.914608470264908
p0038,6.33297766720205,-0.771383155506295,0.784424260738263,5.57403572020072,5.6111869215623,0.989232062406281
p0039,5.14411595234718,-0.168740506617535,0.831850260287504,4.38289042753025,4.48810915358775,0.768886821765294
p0040,5.52533779093656,-0.348386093939079,0.815945462539433,4.76928937233889,4.82392111610562,0.844156059039532
p0041,6.82789640694277,-1.05906683822305,0.745687913307797,6.00109030755458,6.05086880799573,1.07083085828384
p0042,6.35501013396039,-0.783729900359142,0.753019944849794,5.47497278963054,5.56898967251487,0.976083621328062
p0043,5.32199582178465,-0.250966431669549,0.814229661387055,4.52157348055212,4.58484828059998,0.801426524010933
p0044,6.1574130320408,-0.674530917822818,0.780135798176521,5.35000595217753,5.42163902455634,0.950018801210989
p0045,5.7182731886866,-0.444196862330051,0.817086246852476,4.9915898495972,5.05124798552297,0.875827391417352
p0046,6.47854304324974,-0.853750557372295,0.792358352666993,5.76848920401951,5.80391083094667,1.02304866304937
p0047,5.87172349615548,-0.52274713052918,0.790178035874087,5.05727832284211,5.14478968689712,0.898978168401517
p0048,6.20650973410234,-0.701341435611208,0.761541178292883,5.33542434101723,5.43245725223302,0.950986969025333
p0049,6.13590502069858,-0.662852985012699,0.812392371974197,5.45423254501781,5.48217755855314,0.96196583748352
p0050,6.74163378699339,-1.00736761075768,0.762143071371931,5.95891079428007,6.00335118772126,1.05950622466327
p0051,5.82709165265357,-0.499685856207292,0.800021028735181,5.05197505028451,5.10457539026934,0.894784845558921
p0052,6.29335520394873,-0.749287071957563,0.762145635715919,5.43511907281479,5.52161237482123,0.966724668877755
p0053,6.31343905960628,-0.760469815221642,0.764947714838164,5.47200484666515,5.55333076479669,0.971742027725899
p0054,4.60634236942226,0.0628501810607955,0.871275760995778,3.95328812426662,4.01801881492939,0.693065942845666
p0055,4.95635730360022,-0.0849801974580497,0.848826059817685,4.25294203351314,4.3101049866883,0.743765050007054
p0056,6.05295689401045,-0.618198371297721,0.811576078469547,5.34584561621058,5.39364620131188,0.942079892691636
p0057,6.64685533583752,-0.951322494433146,0.761453111953046,5.84408638019493,5.89656581207324,1.03701456363337
p0058,6.38885339635939,-0.802778801626814,0.771259869438992,5.58695826123658,5.6454274122438,0.993257733608782
p0059,4.76204216711665,-0.00157406641372737,0.869105830995917,4.12845646646219,4.1786084610859,0.717565481416519
p0060,6.42344010957459,-0.822350691767667,0.781739055656992,5.66956460228814,5.70534551519458,1.00614429866095
p0061,5.10443207111065,-0.15077774612464,0.844669133549589,4.3972000228713,4.47906534483726,0.765673699662117
p0062,5.5201926465727,-0.345876053380573,0.806588766163126,4.71675907407249,4.80797226875207,0.831623212367976
p0063,6.81740902911612,-1.0527464060751,0.762173593002942,6.04964094455989,6.08029585392375,1.07621442698712
p0064,6.2186750445619,-0.708017532795837,0.766018223663955,5.36917268069495,5.45166257459765,0.957016785579072
p0065,6.68261460333573,-0.972374723704441,0.75994797424036,5.88197233240044,5.9254818057331,1.04471754166682
p0066,6.42379882946866,-0.822554237434609,0.771862668941379,5.62905427830965,5.67700821479575,1.00110950429108
p0067,6.53770529236456,-0.88776216021868,0.767839184282013,5.74198223462472,5.79651701366679,1.0167123512496
p0068,6.20226972434533,-0.699017668935268,0.757559688125226,5.31117768507158,5.41855431702867,0.947642730257415
p0069,5.22158890559989,-0.20420922924508,0.836804590569987,4.50734541022026,4.55990501051756,0.792774167537988
p0070,6.2690144098728,-0.735781813282314,0.747646878943967,5.35090100048874,5.46525289035851,0.956845533203183
