Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-02-21 00:00:00,96.2108,247.86685,-8.0838646,93.038472,1.6173291,0.0012510578,0.0012510578
1979-02-22 00:00:00,104.93194,242.24964,-8.3410006,92.467236,1.1160797,0.0013990115,0.0013990115
1979-02-23 00:00:00,109.99964,231.2629,-8.0908012,90.142508,0.48905011,0.00048252458,0.00048252458
1979-02-24 00:00:00,140.79371,219.55931,-4.4381482,85.38018,1.5890813,0.0016290442,0.0016290442
1979-02-25 00:00:00,90.883935,254.78346,-5.8390762,92.499082,1.3545728,0.0065786846,0.0065786846
1979-02-26 00:00:00,141.42413,210.21077,-8.5524542,83.205752,0.78823151,0.0016566417,0.0016566417
1979-02-27 00:00:00,167.15582,186.62163,-9.9280963,75.695429,0.22877997,6.5236658e-05,6.5236658e-05
1979-02-28 00:00:00,98.294506,232.98884,-9.5143377,91.092494,1.9776233,0.0029325935,0.0029325935
1979-03-01 00:00:00,169.07572,177.58502,-8.5049198,79.402716,1.0414055,3.736205e-06,3.736205e-06
1979-03-02 00:00:00,177.89977,173.89347,-8.0318824,74.273873,0.39223967,0,0
1979-03-03 00:00:00,162.8098,190.70235,-9.3696199,87.73903,0.82806237,0.00013435225,0.00013435225
1979-03-04 00:00:00,168.32559,182.70295,-8.6145662,82.425964,0.36293911,9.5210258e-06,9.5210258e-06
1979-03-05 00:00:00,178.19714,176.02032,-7.6658846,70.041418,0.90114367,0,0
1979-03-06 00:00:00,185.42367,177.18504,-6.8087956,67.895731,1.8515073,0,0
1979-03-07 00:00:00,136.91419,232.0864,-5.1211787,78.15601,1.5847452,0.00097832318,0.00097832318
1979-03-08 00:00:00,141.35621,239.35681,-4.0426965,92.609428,0.90155735,0.0029903409,0.0029903409
1979-03-09 00:00:00,136.07966,259.52311,-4.1696545,93.983693,1.4972851,0.00096215255,0.00096215255
1979-03-10 00:00:00,126.23024,256.28826,-3.6421996,90.755127,0.6816315,0.0012241151,0.0012241151
1979-03-11 00:00:00,166.47089,228.59644,-2.6590629,81.019027,2.5626117,0.00098159761,0.00098159761
1979-03-12 00:00:00,184.55758,208.37144,-2.7904813,76.172332,3.2092223,3.0695653e-05,3.0695653e-05
1979-03-13 00:00:00,162.09741,235.01509,-0.42493253,74.939974,2.5849378,0.0011863249,0.0011863249
1979-03-14 00:00:00,144.33135,251.5602,-0.20100491,88.74227,0.47458651,0.0025908441,0.0025908441
1979-03-15 00:00:00,188.02287,221.7012,0.53926997,71.57059,2.8821757,2.2165351e-06,0
1979-03-16 00:00:00,195.05061,217.13926,1.2958094,65.991861,3.6117578,0,0
1979-03-17 00:00:00,198.84066,216.17253,1.76577,64.971151,3.2605841,0,0
1979-03-18 00:00:00,179.69198,248.23255,2.6973506,71.507413,3.1468253,0.00048680652,0
1979-03-19 00:00:00,146.46883,258.98009,1.9156321,84.864091,1.4839025,0.0019896593,0
1979-03-20 00:00:00,184.18734,232.59846,1.899388,76.212249,1.9487902,0.00010417715,0
1979-03-21 00:00:00,151.95691,257.97902,2.8350516,78.812228,1.9169924,0.0014889407,0
1979-03-22 00:00:00,195.35488,236.74046,2.9016554,70.635763,1.3496256,0.00011262349,0
