Depth [m]	Area [m^2]
-66.8	1822761.9486735
-67.05	1750733.18413467
-67.3	1678704.4195958
-67.55	1606675.65505693
-67.8	1534646.8905181
-68.05	1454336.82077674
-68.3	1374026.75103535
-68.55	1293716.68129396
-68.8	1213406.6115526
-69.05	1111461.92494224
-69.3	1009517.23833183
-69.55	907572.551721422
-69.8	805627.86511106
-70.05	698493.342254191
-70.3	591358.819397272
-70.55	484224.296540358
-70.8	377089.77368349
-71.05	360604.674562831
-71.3	344119.575442164
-71.55	327634.476321498
-71.8	311149.37720084
-72.05	297319.247487541
-72.3	283489.117774235
-72.55	269658.988060929
-72.8	255828.85834763
-73.05	242004.861026263
-73.3	228180.86370489
-73.55	214356.866383516
-73.8	200532.86906215
-74.05	185507.110991247
-74.3	170481.352920337
-74.55	155455.594849426
-74.8	140429.836778524
-75.05	125404.07870762
-75.3	110378.32063671
-75.55	95352.5625657995
-75.8	80326.804494897
-76.05	62070.4806890135
-76.3	43814.1568831217
-76.55	25557.8330772299
-76.8	7301.5092713474
-77.05	5476.13195351094
-77.3	3650.75463567365
-77.55	1825.37731783636
-77.8	0
