par_id,rmse,nse,r,bias,mae,nmae
p0116,2.36753759831937,0.790324294244604,0.910026163571673,0.471847790724638,1.8221519773913,0.275337989527039
p0117,3.40676876323646,0.565850148065079,0.865928499561635,-0.720433684637681,2.50201768463768,0.307312532940222
p0118,2.53464722492419,0.759680291393181,0.877656774171234,-0.102179462608696,1.99340891188406,0.316820920453111
p0119,2.40367887381125,0.783873889876995,0.89193254731552,-0.340750527536232,1.87007620869565,0.294052800744088
p0120,3.15553286783326,0.627522742995546,0.842750410388574,1.08355169855072,2.40341247536232,0.402568438608025
p0121,4.1053422358986,0.369546472872303,0.82436896137121,2.50298034202899,3.15917293333333,0.527119166483607
p0122,2.98772339563281,0.66608562182212,0.868625559942129,1.19887627246377,2.33236651014493,0.383553400832718
p0123,3.85677016547798,0.443581114435133,0.731801642112725,0.190903986086956,3.04311468057971,0.483260063351307
p0124,2.37257170072647,0.789431678082529,0.917426316341094,-1.0607107715942,1.70723169913043,0.239973240426945
p0125,2.43099031007959,0.778934587130864,0.911874038472182,-0.729975115942029,1.7618505942029,0.243586415794559
p0126,2.70236188571179,0.726824744411692,0.864206526130771,0.325272971594203,2.11181166608696,0.340005163564542
p0127,3.24395594033121,0.606355454468446,0.801266550972799,-0.388319121913044,2.64276190452174,0.413778722170395
p0128,3.60971581669775,0.512583340434659,0.858448573505724,2.14031379130435,2.86303739710145,0.476494306388211
p0129,3.19073684592299,0.619165469561451,0.889036404472206,1.81645583768116,2.62244051014493,0.421102148125206
p0130,2.97307065455699,0.669352833979753,0.830319427295373,-0.20835014226087,2.39448034515942,0.375303326964934
p0131,2.43400516976502,0.778385926384782,0.889644907902519,-0.390619651014493,1.90832202782609,0.30006417481714
p0132,2.32976263294947,0.796961827933474,0.90894028627771,0.333386056811594,1.79286171130435,0.277330327675901
p0133,2.96626946531006,0.670863878985573,0.861264254486388,1.04648822608696,2.29153809275362,0.376272432765959
p0134,4.26008414995769,0.321123618008728,0.757112659738657,1.89520773681159,3.07084246608696,0.51354407310087
p0135,2.39795325073868,0.784902299145694,0.90357623652917,0.463441151304348,1.86182957333333,0.290647917269757
p0136,2.44670490393318,0.776067293533651,0.893346268621715,-0.61874956626087,1.9352313053913,0.304861203521968
p0137,2.78643767004042,0.709562286098764,0.88684969480142,1.12057488115942,2.23020343768116,0.366880748497307
p0138,2.62846714816782,0.741560167485547,0.882774048187623,-0.968790714782609,2.10629958434783,0.318820213171575
p0139,2.27028787248695,0.807195927685039,0.909517271515387,-0.571605853913044,1.7545748973913,0.271993361771823
p0140,2.48096405985618,0.769752305565592,0.89933328715682,0.676168275942029,1.94983949217391,0.313131482905447
p0141,2.66245852697093,0.734832650757435,0.909085342426033,-1.5441383315942,2.01175038956522,0.286323581663542
p0142,3.08246718403402,0.644572302826789,0.818985198630096,-0.376659290492754,2.49883714556522,0.38899480983745
p0143,3.08295015930332,0.644460913977553,0.869729292693701,1.50880871884058,2.38560299130435,0.392575399519685
p0144,2.51036110155814,0.764263550692636,0.906260509707602,0.463582417391304,1.92071717681159,0.274033148401434
p0145,3.15582062725282,0.627454805990344,0.856371462658863,1.30387908985507,2.43612346086957,0.403669331101705
p0146,4.20495091339884,0.338581702609411,0.814371851835261,2.48771927536232,3.24763365217391,0.536520064923101
p0147,2.44469361283221,0.776435305824758,0.910333116429891,-0.0298491727536232,1.81704221623188,0.257450209068556
p0148,2.68727563786052,0.729866295675036,0.899929829250938,1.19874789565217,2.14195204637681,0.338610689526018
p0149,3.95993409212957,0.413415936664085,0.803440513194286,2.05201296231884,2.94594471884058,0.494848627243718
p0150,4.20277187093426,0.33926703052411,0.808432813957,2.48390706086957,3.21368331594203,0.536431522953697
p0151,3.52536700732771,0.535096285914527,0.859920254384339,-1.10149039652174,2.62426059942029,0.328434632599363
p0152,2.69567395633105,0.728175204603195,0.915195901357262,-1.62891784057971,1.98455424637681,0.279793059912399
