!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1970-02-15 00:00:00	-0.92237537	-0.62870471	78031.559	-11.775295	87.624122	0.76347403	216.752	0
1970-02-16 00:00:00	0.60264548	-1.4297895	78329.842	-11.756626	87.359045	0.39349714	216.67907	0
1970-02-17 00:00:00	1.3198947	-1.3239619	78548.718	-7.0945516	89.176253	0.70287217	190.01492	3.8058446e-08
1970-02-18 00:00:00	1.6651934	-0.10697473	78430.611	-5.9769181	87.397046	0.74481337	220.07444	0
1970-02-19 00:00:00	1.8032648	1.9880602	78059.181	-6.0322606	87.462414	0.77625201	223.60433	3.7745754e-08
1970-02-20 00:00:00	1.3361799	0.25069423	77896.481	-5.0298156	87.04211	0.90568322	214.51086	7.377409e-08
1970-02-21 00:00:00	1.9392846	3.3464557	77731.643	-3.5241678	83.558575	0.69524146	202.19557	2.4657095e-08
1970-02-22 00:00:00	-0.04154277	-0.58012368	77847.163	-8.642671	90.154852	0.85503856	236.55237	3.1940733e-08
1970-02-23 00:00:00	0.34237599	-1.2193647	78161.361	-8.8763266	87.708078	0.37836425	225.51224	0
1970-02-24 00:00:00	1.7259081	2.1928694	78378.651	-6.2952178	84.678796	0.77619326	204.99855	1.2162257e-08
1970-02-25 00:00:00	1.3352822	1.8636371	78572.021	-2.6103502	90.254247	0.99807699	166.15882	8.0518869e-08
1970-02-26 00:00:00	1.0177477	1.976184	78600.349	-2.535844	89.784874	0.95445611	213.54807	2.2256634e-08
1970-02-27 00:00:00	0.40010339	3.3485652	77996.037	-3.3849035	84.941428	0.92478936	233.67674	3.5320928e-08
1970-02-28 00:00:00	1.8091599	-1.3182297	77804.473	-5.8594883	84.892512	0.79629982	239.96482	3.6578965e-08
1970-03-01 00:00:00	1.8206281	1.4896925	78247.443	-6.7981083	84.318525	0.68750089	247.25134	2.0465075e-08
1970-03-02 00:00:00	1.8483052	2.8289678	78140.236	-1.3286187	87.514752	0.8171609	184.90088	6.3759507e-08
1970-03-03 00:00:00	1.6652196	1.3623312	78359.451	-5.1206524	83.171465	0.17262685	252.44645	0
1970-03-04 00:00:00	1.714026	3.6663565	77962.47	-0.84632831	86.177498	0.8179	257.25849	3.1587965e-08
1970-03-05 00:00:00	2.5467247	3.1794202	77354.287	-1.9481467	80.857441	0.72414621	238.31316	1.1805423e-08
1970-03-06 00:00:00	1.1646911	-0.58916985	77155.222	-3.2782703	84.024953	0.88582129	146.52137	8.9686931e-08
1970-03-07 00:00:00	1.6433623	-1.3310443	78285.147	-5.8008128	84.223489	0.67515201	248.64182	1.6093409e-08
1970-03-08 00:00:00	1.1074304	0.07361478	79075.889	-7.3362445	85.629931	0.32926504	263.23116	0
1970-03-09 00:00:00	0.82287982	0.24357905	79391.347	-3.9220553	89.711605	0.84109467	247.63091	8.2630088e-08
1970-03-10 00:00:00	0.34177765	-0.19099505	79352.025	-3.8676012	91.305771	0.18073895	264.55742	0
1970-03-11 00:00:00	0.28369901	1.6647593	79112.247	-6.3114882	82.697133	0.38969494	273.70819	0
1970-03-12 00:00:00	1.7608953	1.8368063	78732.43	-1.4686722	78.312333	0.71654755	289.91053	0
1970-03-13 00:00:00	1.8166523	0.41222943	78370.406	-0.55234721	84.913815	0.74437082	202.45477	1.7330943e-08
1970-03-14 00:00:00	0.45474627	-0.67948892	78461.227	-4.6441576	87.835189	0.81035858	277.05616	0
1970-03-15 00:00:00	-1.0203221	-0.74478649	78616.195	-5.0561212	90.53674	0.83520402	254.78769	6.1386475e-08
1970-03-16 00:00:00	-1.2023191	-0.96396976	78662.759	-5.4943455	89.452266	0.68327973	248.99601	1.6744537e-08
1970-03-17 00:00:00	-1.0500196	-0.27343632	78659.284	-8.3474943	84.650805	0.60758239	287.88725	0
1970-03-18 00:00:00	-1.4919192	3.0698274	78424.712	-4.3584504	83.258156	0.64472584	263.87307	0
1970-03-19 00:00:00	0.20294901	1.9275289	77879.208	-6.5466262	80.341812	0.19675251	292.68206	0
1970-03-20 00:00:00	0.043030621	0.0056296537	78038.293	-9.5435257	81.961762	0.3415728	299.30652	0
1970-03-21 00:00:00	-0.26139578	-1.645922	78516.225	-8.1050678	87.171146	0.26071084	291.0952	0
1970-03-22 00:00:00	-0.98518904	-0.33863762	79009.925	-8.3596628	87.897143	0.21131753	289.92005	0
1970-03-23 00:00:00	-0.6116441	-1.2595244	79137.192	-8.0594557	83.706599	0.056947805	298.28822	0
1970-03-24 00:00:00	-0.12390713	-1.2106441	79186.977	-6.4570813	88.526108	0.21131185	295.41319	0
1970-03-25 00:00:00	0.35070354	-0.77640053	78983.01	-6.0642502	85.709382	0.17501012	299.91501	0
1970-03-26 00:00:00	0.2944067	-0.65177867	78928.776	-6.3133122	84.988143	0.55791037	310.21378	0
1970-03-27 00:00:00	0.31460854	0.1742547	79004.131	-5.4450841	83.993784	0.28562843	302.37576	0
1970-03-28 00:00:00	0.61454538	2.4791816	78724.248	-2.2645056	76.879292	0.76905472	328.74645	0
1970-03-29 00:00:00	1.1513594	3.2478708	78261.907	0.87410267	77.121569	0.41407102	315.26921	0
1970-03-30 00:00:00	1.2785694	0.98502045	78291.49	-4.7665703	77.114907	0.31261564	319.6266	0
1970-03-31 00:00:00	0.88635266	1.1302601	78575.412	-6.0695903	76.702727	0.50820888	316.92321	0
1970-04-01 00:00:00	1.690465	2.2666301	78822.4	-0.60290649	84.363545	0.71920626	229.77413	1.4275213e-08
1970-04-02 00:00:00	1.5777264	-0.18603174	78767.745	-0.42915702	86.436424	0.82564525	226.04657	8.5001301e-08
1970-04-03 00:00:00	0.89903544	-1.1106656	79027.446	-6.0338415	76.915747	0.33393916	324.5579	0
1970-04-04 00:00:00	1.6952604	2.1813238	78605.399	-2.0693056	79.632324	0.53613037	318.91931	0
1970-04-05 00:00:00	2.1757861	2.4740402	78316.024	3.3054946	88.60651	0.87602165	287.11677	3.0621027e-08
1970-04-06 00:00:00	2.5785603	2.7252748	78254.22	4.9062092	83.387757	0.2403137	312.35238	0
1970-04-07 00:00:00	0.85289914	1.6958075	78051.726	2.5900458	76.553904	0.93911217	343.44116	0
1970-04-08 00:00:00	-0.11175982	-1.8446419	78077.541	-1.9156386	81.782813	0.59518447	252.20284	3.9394111e-08
1970-04-09 00:00:00	-0.91094186	-1.4237515	78441.911	-5.3917827	80.071909	0.72204638	312.46741	5.5607754e-08
1970-04-10 00:00:00	-1.2485847	-0.85932237	78519.424	-2.8632701	86.123658	0.80711955	264.7272	4.1683515e-08
1970-04-11 00:00:00	0.81521979	2.2613712	78492.04	-1.1216485	84.93885	0.53596572	336.28763	1.9639393e-08
1970-04-12 00:00:00	1.9781459	0.84402877	78603.077	3.8006978	88.368734	0.93121404	207.59309	0
1970-04-13 00:00:00	2.3742771	2.6779514	78679.357	4.8055768	80.786443	0.82965539	290.14019	0
1970-04-14 00:00:00	1.911968	3.2730907	78650.842	5.8979901	71.389295	0.93286032	342.84216	0
1970-04-15 00:00:00	1.862844	3.3687332	78389.552	6.4352984	77.055748	0.87473588	295.66946	0
1970-04-16 00:00:00	1.150281	1.7904607	78346.923	4.0326496	80.268814	0.47359531	332.6481	0
1970-04-17 00:00:00	-1.0635226	1.0113324	78240.8	1.0800311	94.665863	0.87411767	163.73104	1.6830927e-07
1970-04-18 00:00:00	-0.14217587	2.1039533	78199.784	1.8965919	88.320348	0.76462388	254.59313	1.9190444e-08
1970-04-19 00:00:00	1.7678673	1.9131387	78371.699	2.3767587	81.682755	0.56803666	343.1827	0
1970-04-20 00:00:00	0.20122626	0.87153503	78445.536	0.9053857	85.576625	0.43057232	291.98399	1.1947275e-08
1970-04-21 00:00:00	-1.2899164	0.55638423	78285.239	1.643602	93.615015	0.91247045	157.23691	1.7877153e-07
1970-04-22 00:00:00	0.24153173	1.3192321	78545.842	1.7214167	87.374983	0.50800946	227.56112	0
1970-04-23 00:00:00	0.054651576	-0.2538752	78888.9	-0.38015865	86.18692	0.38035061	329.10141	0
1970-04-24 00:00:00	-0.79826874	1.6726667	78747.571	2.9092979	92.514422	0.83713129	194.14137	1.1936674e-07
1970-04-25 00:00:00	-1.3750069	-0.21877815	78574.276	4.6352694	96.99202	0.89919574	234.46264	2.4994331e-07
1970-04-26 00:00:00	0.0011391483	2.4182356	78257.676	4.4293228	89.584816	0.86897544	208.09293	8.1554549e-08
1970-04-27 00:00:00	1.3885342	-1.5282225	78388.05	4.2438174	92.146024	0.86891236	201.86852	9.425917e-08
1970-04-28 00:00:00	-0.82003132	-1.7361715	79133.464	3.9593024	87.502198	0.36858223	318.78486	0
1970-04-29 00:00:00	-0.69107468	0.17278636	79512.711	2.2264252	84.138275	0.066769921	351.35206	0
1970-04-30 00:00:00	-0.53888757	-0.22643255	79505.33	1.9507457	79.661779	0.050533656	359.00223	0
1970-05-01 00:00:00	-0.42973103	-1.0908734	79416.012	3.2025231	77.298891	0.1567267	358.67228	0
1970-05-02 00:00:00	-0.64050306	-1.1676235	79386.151	4.6051475	85.771407	0.5407383	358.94446	0
1970-05-03 00:00:00	-0.50367415	-0.97295718	79284.778	5.9120458	86.351378	0.44686879	352.99957	0
1970-05-04 00:00:00	-0.61007123	-0.45789559	78945.907	5.287489	86.715758	0.55197095	244.92321	1.7008455e-08
1970-05-05 00:00:00	-0.54819041	0.087436022	78350.206	4.1463451	93.431983	0.84250174	152.77658	6.4923908e-08
1970-05-06 00:00:00	0.16517265	-1.1580687	78033.876	5.141454	91.137382	0.77538738	269.13483	6.0520966e-08
1970-05-07 00:00:00	-0.64982319	-1.0474833	78212.069	2.9085716	94.837416	0.92847921	195.13633	2.7459183e-07
1970-05-08 00:00:00	0.37373647	-2.1391504	78280.378	1.2922102	94.39961	0.95995266	175.566	3.8191398e-07
1970-05-09 00:00:00	-0.62783844	-2.5391235	78507.457	0.89031869	89.222829	0.91142792	272.61805	1.8850683e-07
1970-05-10 00:00:00	0.40983202	-2.2123435	78653.671	0.63859358	81.061392	0.67530737	330.42476	1.1612644e-08
1970-05-11 00:00:00	0.11125905	-1.7021007	78880.793	0.49921215	81.620474	0.44412686	349.30877	0
1970-05-12 00:00:00	-0.53339847	-0.74304635	79066.619	0.48659741	82.0815	0.39813993	385.4682	0
1970-05-13 00:00:00	-0.59881915	-0.078597452	79181.885	1.7266304	84.116686	0.46176562	374.73893	0
1970-05-14 00:00:00	-0.4631918	-0.89610739	79233.721	3.5596722	80.608611	0.61171999	403.27041	0
1970-05-15 00:00:00	-0.61793177	-0.51293911	79330.767	4.3599217	82.743442	0.28717847	365.75527	0
1970-05-16 00:00:00	-0.59989681	0.69165702	79373.801	5.0430144	86.309606	0.46461879	277.02812	1.78115e-08
