Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       21   21.0000       2.70550       2.88912       3.24912      0.127394      0.452083E-02   0.00000      -287.380      -86.8946      -56.6529       182.957       0.00000      -325.046       9.70107      0.510805       5.00000       4.00000     -0.163992       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       2.61729       2.81423       3.21437      0.843817E-01  0.299497E-02   0.00000      -234.910      -55.9593      -37.6853       186.276       0.00000      -324.630       10.2255      0.513013       5.00000       4.00000     -0.171583       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       2.54686       2.77942       3.21437      0.100671      0.357361E-02   0.00000      -236.400      -58.7510      -40.6316       188.628       0.00000      -324.299       9.15450      0.512077       5.00000       4.00000     -0.171583       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       2.49065       2.74522       3.21437      0.108747      0.386069E-02   0.00000      -190.968      -46.6293      -37.5225       187.008       0.00000      -324.035       8.92304      0.510938       5.00000       4.00000     -0.171583       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       2.49523       2.74249       3.20234      0.373202E-01  0.132492E-02   0.00000      -81.3922      -25.5331      -19.5924       144.747       0.00000      -324.056       9.08643      0.512177       5.00000       4.00000     -0.174210       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       2.53195       2.78812       3.20234      0.184116E-01  0.653591E-03   0.00000      -69.1907      -18.9968      -15.7211       112.519       0.00000      -324.229       7.26602      0.512028       5.00000       4.00000     -0.174210       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       2.52344       2.81936       3.20234      0.170966E-01  0.606919E-03   0.00000      -140.033      -20.2744      -18.4740       183.632       0.00000      -324.189       4.25715      0.511995       5.00000       4.00000     -0.174210       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       2.50828       2.85080       3.20234      0.107554      0.381824E-02   0.00000      -182.326      -34.6318      -32.6549       197.662       0.00000      -324.117       1.03301      0.511972       5.00000       4.00000     -0.174210       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       2.68803       2.86193       3.07442      0.952501E-01  0.338027E-02   0.00000      -130.371      -26.6567      -27.6313       183.338       0.00000      -324.964       3.49899      0.512719       5.00000       4.00000     -0.202147       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       2.80364       2.90012       3.03179      0.722758E-01  0.256438E-02   0.00000      -134.913      -18.9538      -18.6663       170.996       0.00000      -325.509       5.06103      0.513634       5.00000       4.00000     -0.211456       0.00000       0.00000       0.00000       0.00000    
