Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       21   21.0000       1.96612       2.62032       3.47808      0.783678E-01  0.278498E-02   0.00000      -102.562      -30.4328      -21.5533       63.2635       0.00000      -321.575       3.95241      0.501957       5.00000       4.00000     -0.113986       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       1.96470       2.59217       3.45313      0.510026E-01  0.181250E-02   0.00000      -141.339      -49.8771      -30.1227       78.6034       0.00000      -321.568       4.59046      0.502032       5.00000       4.00000     -0.119436       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       1.84501       2.54720       3.45313      0.101632      0.361255E-02   0.00000      -180.794      -54.3718      -34.8033       98.1275       0.00000      -321.009       3.72825      0.501999       5.00000       4.00000     -0.119436       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       1.83403       2.48790       3.40889      0.703532E-01  0.250080E-02   0.00000      -192.823      -38.9918      -27.4466       107.862       0.00000      -320.958       4.95803      0.502117       5.00000       4.00000     -0.129098       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       1.71014       2.42697       3.40889      0.770240E-01  0.273857E-02   0.00000      -199.991      -41.9083      -29.0543       105.638       0.00000      -320.380       4.56839      0.502056       5.00000       4.00000     -0.129098       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       1.59015       2.35928       3.40889      0.123923      0.440706E-02   0.00000      -191.189      -66.2198      -46.2400       105.180       0.00000      -319.821       4.51264      0.501989       5.00000       4.00000     -0.129098       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       1.58929       2.29759       3.37497      0.766349E-01  0.272537E-02   0.00000      -117.263      -23.8507      -20.9894       87.1725       0.00000      -319.817       6.01686      0.502153       5.00000       4.00000     -0.136506       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       1.53419       2.27608       3.37497      0.110448      0.392828E-02   0.00000      -190.757      -40.4825      -31.8045       110.501       0.00000      -319.560       5.65046      0.502083       5.00000       4.00000     -0.136506       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       1.49738       2.21852       3.33840      0.128764      0.458003E-02   0.00000      -147.345      -37.2892      -34.5920       110.605       0.00000      -319.389       6.30214      0.502221       5.00000       4.00000     -0.144493       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       1.51746       2.19224       3.32520      0.133079      0.473334E-02   0.00000      -128.670      -18.2706      -24.0218       96.2149       0.00000      -319.482       7.36171      0.502413       5.00000       4.00000     -0.147377       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       1.52785       2.16903       3.31640      0.149017      0.530012E-02   0.00000      -82.9311      -24.8580      -25.8114       86.4635       0.00000      -319.531       8.21334      0.502637       5.00000       4.00000     -0.149299       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       1.57881       2.17167       3.32472      0.624804E-01  0.222203E-02   0.00000      -51.0620      -10.2559      -9.81037       50.0897       0.00000      -319.768       9.30306      0.502936       5.00000       4.00000     -0.147481       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       1.49570       2.17107       3.32472      0.493709E-01  0.175609E-02   0.00000      -134.308      -29.0921      -21.1373       103.915       0.00000      -319.381       7.61014      0.502878       5.00000       4.00000     -0.147481       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       1.32340       2.14935       3.32472      0.843059E-01  0.299969E-02   0.00000      -156.607      -31.5793      -23.8405       113.303       0.00000      -318.581       5.13437      0.502847       5.00000       4.00000     -0.147481       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       1.26861       2.11834       3.32472      0.135524      0.482261E-02   0.00000      -193.083      -46.4564      -38.5507       121.513       0.00000      -318.326       5.09849      0.502776       5.00000       4.00000     -0.147481       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       1.28813       2.06704       3.29921      0.139503      0.496399E-02   0.00000      -135.349      -29.4499      -32.3199       94.6299       0.00000      -318.417       6.58525      0.502956       5.00000       4.00000     -0.153053       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       1.31108       2.03790       3.29133      0.143537      0.510733E-02   0.00000      -144.585      -27.8631      -29.0617       116.216       0.00000      -318.523       7.74861      0.503168       5.00000       4.00000     -0.154774       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       1.32910       2.01763       3.28423      0.101211      0.360117E-02   0.00000      -72.7507      -15.0038      -17.3929       107.246       0.00000      -318.607       8.60484      0.503414       5.00000       4.00000     -0.156323       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       1.34589       2.04252       3.28423      0.693324E-01  0.246682E-02   0.00000      -81.5764      -9.68890      -10.0878       89.1914       0.00000      -318.685       8.18836      0.503283       5.00000       4.00000     -0.156323       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       1.28128       2.04809       3.28423      0.917241E-01  0.326390E-02   0.00000      -72.8521      -7.60659      -13.2626       112.457       0.00000      -318.385       6.85119      0.503223       5.00000       4.00000     -0.156323       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       1.32305       2.07665       3.28423      0.126404      0.449760E-02   0.00000      -81.1766      -9.95663      -17.4918       107.090       0.00000      -318.579       6.76667      0.503129       5.00000       4.00000     -0.156323       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       1.39680       2.09537       3.29159      0.108985      0.387727E-02   0.00000      -102.385      -7.25513      -15.1268       95.5290       0.00000      -318.921       7.66080      0.503308       5.00000       4.00000     -0.154716       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       1.39772       2.09056       3.28092      0.136216      0.484602E-02   0.00000      -99.6089      -7.79182      -20.1213       121.695       0.00000      -318.926       7.71121      0.503455       5.00000       4.00000     -0.157046       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       1.46117       2.10653       3.28756      0.134618      0.478860E-02   0.00000      -63.2612       5.96047      -15.7803       125.751       0.00000      -319.221       8.54796      0.503684       5.00000       4.00000     -0.155597       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       1.55101       2.15152       3.30533      0.119609      0.425396E-02  0.220320E-02  -30.0635       3.85496      -8.08793       95.9131       0.00000      -319.639       9.18560      0.503928       5.00000       4.00000     -0.151716       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       1.68915       2.19893       3.34340      0.605299E-01  0.215221E-02   0.00000      -79.4144      -6.54304      -7.69675       100.090       0.00000      -320.282       11.1333      0.504138       5.00000       4.00000     -0.143402       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       1.60578       2.21388       3.34340      0.789451E-01  0.280743E-02   0.00000      -130.531      -15.6096      -17.1824       123.425       0.00000      -319.894       8.75628      0.504072       5.00000       4.00000     -0.143402       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       1.53621       2.20887       3.34340      0.106530E-01  0.378890E-03   0.00000      -184.524      -34.7861      -26.8704       142.355       0.00000      -319.570       7.48795      0.503981       5.00000       4.00000     -0.143402       0.00000       0.00000       0.00000       0.00000    
       49   49.0000      0.998953       2.17868       3.34340      0.271963E-01  0.968273E-03   0.00000      -114.872      -31.3637      -22.6342       118.002       0.00000      -317.077      0.442278E-01  0.503980       5.00000       4.00000     -0.143402       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       1.14762       2.18103       3.22897      0.509019E-01  0.181176E-02   0.00000      -85.2403      -31.2064      -20.4425       64.7091       0.00000      -317.765      0.424884      0.503985       5.00000       4.00000     -0.168392       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       1.23368       2.16640       3.17885      0.528359E-01  0.188028E-02   0.00000      -114.650      -37.1450      -23.1710       91.2996       0.00000      -318.164       1.39216      0.504003       5.00000       4.00000     -0.179338       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       1.29053       2.14975       3.11659      0.386506E-01  0.137532E-02   0.00000      -111.027      -38.8103      -24.1226       99.5755       0.00000      -318.428       1.90297      0.504025       5.00000       4.00000     -0.192937       0.00000       0.00000       0.00000       0.00000    
       53   53.0000       1.25586       2.14167       3.11659      0.198433E-01  0.706136E-03   0.00000      -130.193      -37.3092      -23.9030       104.385       0.00000      -318.267       1.58874      0.504013       5.00000       4.00000     -0.192937       0.00000       0.00000       0.00000       0.00000    
       54   54.0000       1.13657       2.12326       3.11659      0.512650E-01  0.182472E-02   0.00000      -107.266      -18.8209      -15.7452       133.607       0.00000      -317.714      0.323084      0.504010       5.00000       4.00000     -0.192937       0.00000       0.00000       0.00000       0.00000    
       55   55.0000       1.33422       2.14232       3.01412      0.450162E-01  0.160169E-02   0.00000      -89.1634      -26.2355      -18.2022       86.2446       0.00000      -318.631       1.30620      0.504029       5.00000       4.00000     -0.215317       0.00000       0.00000       0.00000       0.00000    
       56   56.0000       1.40282       2.14037       2.95768      0.290872E-01  0.103480E-02   0.00000      -169.833      -40.5757      -27.0453       134.205       0.00000      -318.949       1.68708      0.504046       5.00000       4.00000     -0.227643       0.00000       0.00000       0.00000       0.00000    
       57   57.0000       1.30261       2.11494       2.95768      0.114558E-01  0.407625E-03   0.00000      -158.116      -47.6624      -31.1922       158.623       0.00000      -318.484      0.751370      0.504038       5.00000       4.00000     -0.227643       0.00000       0.00000       0.00000       0.00000    
       58   58.0000       1.26196       2.11546       2.95768      0.631093E-01  0.224576E-02   0.00000      -129.157      -45.0647      -27.0147       93.2769       0.00000      -318.295      0.402970E-01  0.504037       5.00000       4.00000     -0.227643       0.00000       0.00000       0.00000       0.00000    
       59   59.0000       1.37688       2.08985       2.86866      0.365340E-01  0.129979E-02   0.00000      -193.884      -40.2005      -27.6515       160.445       0.00000      -318.829       1.48484      0.504067       5.00000       4.00000     -0.247085       0.00000       0.00000       0.00000       0.00000    
       60   60.0000       1.30671       2.06601       2.86866      0.167573E-01  0.596262E-03   0.00000      -192.056      -37.3319      -27.4370       168.819       0.00000      -318.503       1.01900      0.504056       5.00000       4.00000     -0.247085       0.00000       0.00000       0.00000       0.00000    
       61   61.0000       1.22316       2.04949       2.86866      0.303659E-01  0.108066E-02   0.00000      -187.119      -44.0700      -27.2195       154.499       0.00000      -318.115      0.106724      0.504053       5.00000       4.00000     -0.247085       0.00000       0.00000       0.00000       0.00000    
       62   62.0000       1.35829       2.02623       2.70431      0.158742E-01  0.564785E-03   0.00000      -191.384      -40.6816      -27.1746       159.733       0.00000      -318.743      0.444694      0.504060       5.00000       4.00000     -0.282978       0.00000       0.00000       0.00000       0.00000    
       63   63.0000       1.29606       2.00369       2.70431      0.322878E-01  0.114890E-02   0.00000      -189.573      -35.3723      -27.5274       169.101       0.00000      -318.454      0.889406E-01  0.504058       5.00000       4.00000     -0.282978       0.00000       0.00000       0.00000       0.00000    
       64   64.0000       1.46020       1.98919       2.52852      0.591801E-01  0.210514E-02   0.00000      -181.940      -31.7906      -26.7736       175.958       0.00000      -319.216      0.505993      0.504067       5.00000       4.00000     -0.321372       0.00000       0.00000       0.00000       0.00000    
       65   65.0000       1.62855       1.98512       2.37722      0.514247E-01  0.182868E-02   0.00000      -113.796      -24.2438      -21.0031       129.925       0.00000      -320.000       1.58133      0.504100       5.00000       4.00000     -0.354415       0.00000       0.00000       0.00000       0.00000    
       66   66.0000       1.72975       1.99695       2.30190      0.316748E-01  0.112615E-02   0.00000      -92.3018      -19.6283      -15.0216       134.140       0.00000      -320.471       2.10870      0.504132       5.00000       4.00000     -0.370864       0.00000       0.00000       0.00000       0.00000    
       67   67.0000       1.77840       2.02727       2.30190      0.487708E-01  0.173381E-02   0.00000      -75.3083      -20.4140      -15.1756       129.133       0.00000      -320.698       1.63215      0.504118       5.00000       4.00000     -0.370864       0.00000       0.00000       0.00000       0.00000    
       68   68.0000       1.91499       2.06619       2.24029      0.251114E-01  0.892478E-03   0.00000      -65.3548      -18.6590      -15.1103       119.787       0.00000      -321.336       2.23573      0.504153       5.00000       4.00000     -0.384320       0.00000       0.00000       0.00000       0.00000    
       69   69.0000       1.98310       2.10556       2.24029      0.777952E-01  0.276455E-02   0.00000      -121.054      -17.3892      -17.9882       157.973       0.00000      -321.654       1.59100      0.504141       5.00000       4.00000     -0.384320       0.00000       0.00000       0.00000       0.00000    
       70   70.0000       2.11462       2.13235       2.15409      0.100952      0.358655E-02   0.00000      -150.313      -24.3572      -26.6534       175.137       0.00000      -322.270       3.13045      0.504269       5.00000       4.00000     -0.403147       0.00000       0.00000       0.00000       0.00000    
